"기능ID","도메인","화면/모듈","기능명","목적","주요 사용자","기능 설명","입력/선행조건","출력/상태 변화","정책/예외","우선순위","릴리즈","현행 백엔드 정합성"
"FNC-011","콘텐츠","글 관리","게시글 수정/삭제","작성자의 자기 콘텐츠 관리","치료사, 관리자","작성자 본인과 관리자는 게시글을 수정하거나 소프트 삭제할 수 있다.","작성자 또는 관리자 권한","게시글 내용 갱신 또는 삭제 처리","수정 이력 표시 기능은 MVP 제외, 삭제는 소프트 삭제 기준으로 운영한다.","P0","MVP","구현"
"FNC-012","자료","리소스 게시글","PDF 첨부 업로드/다운로드","자료 공유와 재사용","치료사, 관리자","RESOURCE 유형 게시글에만 PDF를 첨부하고 다운로드할 수 있다.","승인된 사용자, RESOURCE 게시글, PDF 파일","첨부파일 저장, 다운로드 이력 기록","첨부파일은 PDF만 허용하고 파일당 최대 10MB로 제한한다.","P0","MVP","구현"
"FNC-013","상호작용","댓글","댓글 및 대댓글","게시글 단위 토론 형성","치료사, 관리자","게시글에 댓글을 달고 1단계 깊이의 대댓글까지 작성한다.","승인된 사용자, 게시글 존재","댓글 저장 및 스레드형 구조 반환","대댓글의 재대댓글은 허용하지 않는다.","P0","MVP","구현"
"FNC-014","상호작용","게시글 반응","게시글 공감 반응","빠른 피드백 제공","치료사, 관리자","게시글에 공감, 잘 봤어요, 유익 반응 중 하나를 남기거나 취소한다.","승인된 사용자","반응 수와 내 반응 상태 갱신","동일 사용자는 게시글당 하나의 반응만 유지한다.","P1","MVP","구현"
"FNC-015","상호작용","댓글 반응","댓글 반응","토론 품질에 대한 빠른 신호 제공","치료사, 관리자","댓글에 좋아요 또는 싫어요 반응을 남기거나 취소한다.","승인된 사용자","댓글 반응 수와 내 반응 상태 갱신","싫어요 기능은 악용 가능성이 있어 운영 모니터링 대상이다.","P2","MVP","구현"
"FNC-016","상호작용","보관함","스크랩","다시 볼 게시글 저장","치료사, 관리자","게시글을 개인 보관함에 스크랩하고 내 스크랩 목록을 조회한다.","승인된 사용자","스크랩 상태 저장, 스크랩 목록 노출","스크랩은 본인에게만 보인다.","P1","MVP","구현"
"FNC-017","탐색","검색","키워드 검색","과거 사례와 자료 재탐색","치료사, 관리자","제목과 본문 기반 키워드 검색을 제공한다.","승인된 사용자, 검색어 입력","검색 결과 리스트 반환","초기 MVP는 전문 검색엔진 없이 DB 검색으로 시작한다.","P1","MVP","부분 구현"
"FNC-018","알림","알림 센터","인앱 알림","댓글, 대댓글, 반응 이벤트 인지","치료사, 관리자","댓글, 대댓글, 게시글 반응, 댓글 반응 발생 시 알림을 적재하고 읽음 처리한다.","승인된 사용자","알림 목록, 미읽음 수, 읽음 상태 갱신","자가 활동에 대한 알림은 생성하지 않는다.","P1","MVP","문서만 존재"
"FNC-019","알림","실시간 알림","SSE 실시간 구독","새 활동을 즉시 전달","치료사, 관리자","SSE로 새 알림 이벤트를 실시간 푸시한다.","승인된 사용자","notification 이벤트 수신","브라우저 재연결과 만료 토큰 처리 정책이 필요하다.","P2","Phase 2","문서만 존재"
"FNC-020","프로필","내 프로필","전문분야 중심 프로필","신뢰 기반 네트워킹","치료사, 관리자","닉네임, 프로필 이미지, 주요 치료영역, 관심 주제를 노출한다.","승인된 사용자","프로필 조회/수정","실명과 면허번호 원문은 공개하지 않는다.","P1","Phase 2","부분 구현"
"FNC-021","안전","콘텐츠 안전","신고, 차단, 숨김 단어","안전한 커뮤니티 운영","치료사, 관리자","게시글/댓글 신고, 사용자 차단, 숨김 단어 설정을 제공한다.","승인된 사용자","신고 접수, 차단 관계 저장, 숨김 처리","Threads의 안전 도구는 차용하되 의료 사례 보호 때문에 우선순위를 높인다.","P1","Phase 2","미구현"
"FNC-022","안전","운영 콘솔","운영자 콘텐츠 제재","규정 위반 콘텐츠 대응","관리자","운영자는 신고 내역을 보고 게시글/댓글 삭제, 사용자 제한, 경고 조치를 수행한다.","관리자 권한","제재 처리 및 감사 로그 저장","환자 식별정보 노출 게시글은 즉시 숨김 대상이다.","P0","Phase 2","부분 구현"
"FNC-023","정책","콘텐츠 정책","사례 비식별 검수","환자 개인정보 보호","치료사, 관리자, 운영자","사례 공유 시 실명, 사진, 연락처, 주민번호, 상세 기관정보 등 직접 식별자를 금지한다.","게시글/댓글 작성","위반 콘텐츠 차단 또는 운영 검토 큐 적재","의료 윤리와 개인정보보호를 위해 Threads 일반 정책보다 엄격하게 적용한다.","P0","MVP","신규 요구"
"FNC-024","확장","리포스트/인용","리포스트 및 인용 게시","콘텐츠 확산과 맥락 추가","치료사, 관리자","다른 게시글을 인용하거나 재공유하는 기능이다.","승인된 사용자","인용 또는 재공유 게시글 생성","사례 글이 맥락 없이 확산될 위험이 커서 MVP에서는 제외한다.","P3","Out of Scope","미구현"
"FNC-025","확장","메시징","1:1 다이렉트 메시지","개인 네트워킹","치료사","치료사 간 사적 대화를 위한 메시징 기능이다.","승인된 사용자","대화방 생성 및 메시지 송수신","개인 사례 공유가 비공개 채널로 이동하며 통제력이 떨어지므로 MVP에서 제외한다.","P3","Out of Scope","미구현"
