"요구사항ID","분류","카테고리","요구사항","수용 기준","우선순위","MVP 여부","비고"
"REQ-011","기능","게시글","승인된 사용자는 제목, 본문, 게시글 유형, 치료영역, 연령대를 입력해 게시글을 작성할 수 있어야 한다.","필수값 누락 시 생성이 거절되고 정상 입력 시 게시글이 생성된다.","P0","Y","현재 구현 범위와 일치"
"REQ-012","기능","게시글","게시글 제목은 1자 이상 200자 이하, 본문은 1자 이상 2,000자 이하로 제한해야 한다.","길이 제한을 넘는 요청은 400으로 거절되고 사용자에게 입력 오류가 표시된다.","P1","Y","본문 길이 제한은 신규 정책"
"REQ-013","정책","콘텐츠 안전","게시글과 댓글에는 환자 실명, 얼굴 사진, 연락처, 주민번호, 상세 주소, 기관 식별 가능 정보 등 직접 식별자를 포함할 수 없어야 한다.","금칙 패턴 또는 운영자 신고에 의해 위반 콘텐츠가 숨김 또는 삭제되고 작성자에게 사유가 안내된다.","P0","Y","치료사 커뮤니티 특화 강화 정책"
"REQ-014","기능","댓글","사용자는 게시글에 댓글과 1단계 깊이의 대댓글만 작성할 수 있어야 한다.","부모 댓글이 없는 댓글은 루트 댓글로 생성되고, 대댓글의 재대댓글 요청은 400으로 거절된다.","P0","Y","현재 구현 범위와 일치"
"REQ-015","기능","게시글 반응","사용자는 게시글에 공감, 잘 봤어요, 유익 중 하나의 반응만 남길 수 있어야 한다.","같은 반응을 다시 누르면 취소되고, 다른 반응을 누르면 기존 반응이 교체된다.","P1","Y","현재 구현 범위와 일치"
"REQ-016","기능","댓글 반응","사용자는 댓글에 좋아요 또는 싫어요 반응을 남길 수 있어야 한다.","사용자당 댓글별 반응은 하나만 유지되고 같은 반응 재요청 시 취소된다.","P2","Y","운영상 악용 모니터링 필요"
"REQ-017","기능","스크랩","사용자는 게시글을 개인 스크랩함에 저장하고 다시 조회할 수 있어야 한다.","스크랩 후 내 스크랩 목록에서 확인 가능하며 다른 사용자에게는 노출되지 않는다.","P1","Y","현재 구현 범위와 일치"
"REQ-018","기능","첨부자료","RESOURCE 유형 게시글에 한해 PDF 첨부파일을 업로드하고 다운로드할 수 있어야 한다.","COMMUNITY 게시글에는 첨부 업로드가 거절되고, PDF 10MB 이하 파일만 허용된다.","P0","Y","현재 구현 범위와 일치"
"REQ-019","기능","다운로드 이력","첨부자료 다운로드 시 사용자별 다운로드 이력이 저장되어야 한다.","동일 사용자가 같은 자료를 여러 번 내려받으면 누적 횟수와 마지막 다운로드 시간이 갱신된다.","P1","Y","현재 구현 범위와 일치"
"REQ-020","기능","알림","댓글, 대댓글, 게시글 반응, 댓글 반응 발생 시 수신자에게 인앱 알림이 생성되어야 한다.","해당 이벤트 후 알림 목록에서 새 알림을 확인할 수 있고 미읽음 수가 증가한다.","P1","Y","API 문서만 있고 실제 구현 확인 필요"
"REQ-021","기능","실시간성","새 알림은 실시간으로 전달되어야 한다.","알림 구독 중인 사용자는 새 이벤트 발생 후 5초 이내에 브라우저에서 알림을 수신한다.","P2","N","SSE 또는 WebSocket 검토 가능"
"REQ-022","기능","프로필","치료사 프로필에는 닉네임, 프로필 이미지, 치료영역, 관심 주제만 공개해야 한다.","프로필 조회 시 실명, 면허번호 원문, 인증 이미지 원본은 표시되지 않는다.","P1","N","프로필 모델 확장 필요"
"REQ-023","기능","검색","사용자는 제목과 본문 기반으로 게시글을 검색할 수 있어야 한다.","검색어 입력 시 관련 게시글 목록이 페이징과 함께 반환된다.","P1","Y","현재 keyword 검색 기반"
"REQ-024","기능","신고","사용자는 게시글과 댓글을 신고할 수 있어야 한다.","신고 사유와 대상이 저장되고 운영자 검토 큐에서 조회 가능해야 한다.","P1","N","안전 기능 2차 릴리즈"
"REQ-025","기능","차단/숨김","사용자는 특정 사용자를 차단하거나 숨김 단어를 설정할 수 있어야 한다.","차단한 사용자의 콘텐츠는 피드에서 제거되고 숨김 단어가 포함된 콘텐츠는 기본 숨김 처리된다.","P2","N","Threads 안전 기능 차용"
"REQ-026","정책","리포스트/인용","리포스트 및 인용 게시 기능은 MVP 범위에서 제공하지 않아야 한다.","MVP 릴리즈에서는 관련 UI와 API가 노출되지 않는다.","P0","Y","사례 확산 리스크로 제외"
"REQ-027","정책","메시징","1:1 다이렉트 메시지 기능은 MVP 범위에서 제공하지 않아야 한다.","MVP 릴리즈에서는 개인 메시지 UI와 API가 존재하지 않는다.","P0","Y","비공개 사례 공유 리스크로 제외"
"REQ-028","비기능","보안","인증 이미지는 공개 URL로 노출되지 않고 권한 검증 후에만 조회되어야 한다.","비인가 사용자가 인증 이미지 URL에 접근하면 401 또는 403을 받는다.","P0","Y","현재 구현 방향과 일치"
"REQ-029","비기능","감사 추적","관리자 승인/반려, 관리자 삭제, 신고 처리 이력은 감사 로그로 남아야 한다.","누가 언제 어떤 사유로 어떤 조치를 했는지 조회 가능한 로그가 보관된다.","P1","Y","운영 통제 요구사항"
"REQ-030","비기능","성능","피드 목록 API는 일반 조건에서 P95 1.5초 이내로 응답해야 한다.","운영 모니터링에서 피드 API의 P95가 목표치 이내인지 확인할 수 있다.","P2","Y","초기 운영 기준"
"REQ-031","비기능","가용성","알림 또는 첨부 저장 실패 시 핵심 게시글 저장 트랜잭션과 분리해 장애 영향을 최소화해야 한다.","부가 기능 실패가 게시글 작성 실패로 전파되지 않거나 재시도 큐로 격리된다.","P2","N","아키텍처 고도화 요구사항"
"REQ-032","비기능","운영 모니터링","커뮤니티 API의 401 급증, 5xx 급증, 첨부 삭제 실패 이벤트를 운영 알림으로 감지해야 한다.","운영자가 알림 수신 여부와 최근 발화 이력을 확인할 수 있다.","P2","Y","기존 운영 문서와 연결 가능"
